"year","country","intensity","Reference_key","Scenario_key","scope"
2025,"Czech Republic",39.30914135,"CRREM","CRREM EU Multi-family","Combined"
2025,"Denmark",11.98041582,"CRREM","CRREM EU Multi-family","Combined"
2025,"Estonia",67.69132814,"CRREM","CRREM EU Multi-family","Combined"
2025,"Finland",23.71988963,"CRREM","CRREM EU Multi-family","Combined"
2025,"France",12.66010158,"CRREM","CRREM EU Multi-family","Combined"
2025,"Germany",23.30359187,"CRREM","CRREM EU Multi-family","Combined"
2025,"Greece",21.8708967,"CRREM","CRREM EU Multi-family","Combined"
2025,"Hungary",17.49452101,"CRREM","CRREM EU Multi-family","Combined"
2025,"Ireland",26.63223491,"CRREM","CRREM EU Multi-family","Combined"
2025,"Italy",12.22758444,"CRREM","CRREM EU Multi-family","Combined"
2025,"Latvia",17.53832184,"CRREM","CRREM EU Multi-family","Combined"
2025,"Lithuania",21.33363668,"CRREM","CRREM EU Multi-family","Combined"
2025,"Luxembourg",24.48044263,"CRREM","CRREM EU Multi-family","Combined"
2025,"Malta",11.59767429,"CRREM","CRREM EU Multi-family","Combined"
2025,"Netherlands",18.91833042,"CRREM","CRREM EU Multi-family","Combined"
2025,"Poland",47.25468199,"CRREM","CRREM EU Multi-family","Combined"
2025,"Portugal",8.291543582,"CRREM","CRREM EU Multi-family","Combined"
2025,"Romania",19.77232713,"CRREM","CRREM EU Multi-family","Combined"
2025,"Slovakia",13.9726519,"CRREM","CRREM EU Multi-family","Combined"
2025,"Slovenia",19.19800189,"CRREM","CRREM EU Multi-family","Combined"
2025,"Spain",9.74612616,"CRREM","CRREM EU Multi-family","Combined"
2025,"Sweden",4.757211741,"CRREM","CRREM EU Multi-family","Combined"
2025,"United Kingdom",18.77037705,"CRREM","CRREM EU Multi-family","Combined"
2025,"Croatia",15.96343351,"CRREM","CRREM EU Multi-family","Combined"
2025,"Switzerland",12.72856185,"CRREM","CRREM EU Multi-family","Combined"
2025,"Norway",6.273644716,"CRREM","CRREM EU Multi-family","Combined"
2026,"Austria",14.84790997,"CRREM","CRREM EU Multi-family","Combined"
2026,"Belgium",27.18298406,"CRREM","CRREM EU Multi-family","Combined"
2026,"Bulgaria",21.71318249,"CRREM","CRREM EU Multi-family","Combined"
2026,"Cyprus",13.40018966,"CRREM","CRREM EU Multi-family","Combined"
2026,"Czech Republic",35.62157394,"CRREM","CRREM EU Multi-family","Combined"
2026,"Denmark",11.00198929,"CRREM","CRREM EU Multi-family","Combined"
2026,"Estonia",62.50364635,"CRREM","CRREM EU Multi-family","Combined"
2026,"Finland",22.01139666,"CRREM","CRREM EU Multi-family","Combined"
2026,"France",11.62577992,"CRREM","CRREM EU Multi-family","Combined"
2026,"Germany",21.46085054,"CRREM","CRREM EU Multi-family","Combined"
2026,"Greece",20.11899459,"CRREM","CRREM EU Multi-family","Combined"
2026,"Hungary",15.94494793,"CRREM","CRREM EU Multi-family","Combined"
2026,"Ireland",24.39705201,"CRREM","CRREM EU Multi-family","Combined"
2026,"Italy",11.20287621,"CRREM","CRREM EU Multi-family","Combined"
2026,"Latvia",15.93665581,"CRREM","CRREM EU Multi-family","Combined"
2026,"Lithuania",19.58316488,"CRREM","CRREM EU Multi-family","Combined"
2026,"Luxembourg",22.70646494,"CRREM","CRREM EU Multi-family","Combined"
2026,"Malta",10.79644787,"CRREM","CRREM EU Multi-family","Combined"
2026,"Netherlands",17.30724535,"CRREM","CRREM EU Multi-family","Combined"
2026,"Poland",43.31357873,"CRREM","CRREM EU Multi-family","Combined"
2026,"Portugal",7.709186611,"CRREM","CRREM EU Multi-family","Combined"
2026,"Romania",18.08486848,"CRREM","CRREM EU Multi-family","Combined"
2026,"Slovakia",12.74610808,"CRREM","CRREM EU Multi-family","Combined"
2026,"Slovenia",17.56930227,"CRREM","CRREM EU Multi-family","Combined"
2026,"Spain",8.999841983,"CRREM","CRREM EU Multi-family","Combined"
2026,"Sweden",4.382393709,"CRREM","CRREM EU Multi-family","Combined"
2026,"United Kingdom",17.07233867,"CRREM","CRREM EU Multi-family","Combined"
2026,"Croatia",14.60389308,"CRREM","CRREM EU Multi-family","Combined"
2026,"Switzerland",11.60151673,"CRREM","CRREM EU Multi-family","Combined"
2026,"Norway",5.121979945,"CRREM","CRREM EU Multi-family","Combined"
2027,"Austria",13.60002194,"CRREM","CRREM EU Multi-family","Combined"
2027,"Belgium",24.70762079,"CRREM","CRREM EU Multi-family","Combined"
2027,"Bulgaria",19.85837174,"CRREM","CRREM EU Multi-family","Combined"
2027,"Cyprus",12.40540633,"CRREM","CRREM EU Multi-family","Combined"
2027,"Czech Republic",32.2527575,"CRREM","CRREM EU Multi-family","Combined"
