"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2028,"Malaysia",26660.2215546433,38054799340.6504,"SDA"
2029,"Malaysia",23336.6624452385,34012794764.8592,"SDA"
2030,"Malaysia",20125.0443892272,29945759043.618,"SDA"
2031,"Malaysia",18218.9475782393,27672840259.4012,"SDA"
2032,"Malaysia",16358.3852726998,25359461185.6792,"SDA"
2033,"Malaysia",14543.2205987045,23007351877.9729,"SDA"
2034,"Malaysia",12771.1132113603,20614782281.616,"SDA"
2035,"Malaysia",11041.940031665,18183482452.1296,"SDA"
2036,"Malaysia",9353.46349332728,15711722333.1378,"SDA"
2037,"Malaysia",7705.57744533682,13201231981.0164,"SDA"
2038,"Malaysia",6096.14496175011,10650281339.3899,"SDA"
2039,"Malaysia",4525.07882674959,8060600464.88998,"SDA"
2040,"Malaysia",2990.33999542962,5430459300.66268,"SDA"
2041,"Malaysia",2643.24058962564,4892908766.62826,"SDA"
2042,"Malaysia",2307.48573588001,4353353813.18708,"SDA"
2043,"Malaysia",1983.56562716329,3813524497.47525,"SDA"
2044,"Malaysia",1670.59477639357,3272555790.90341,"SDA"
2045,"Malaysia",1367.738085165,2729582664.88209,"SDA"
2046,"Malaysia",1075.48460854411,2186335176.55603,"SDA"
2047,"Malaysia",792.604455860433,1641083268.78049,"SDA"
2048,"Malaysia",519.584860019072,1095556998.78558,"SDA"
2049,"Malaysia",255.25557145904,548026309.255731,"SDA"
2050,"Malaysia",0.101223265431034,221257.50660877,"SDA"
2020,"Mexico",23142.37514,31968739483.2605,"SDA"
2021,"Mexico",21780.333646883,30707501922.1149,"SDA"
2022,"Mexico",20030.0492340536,28815617971.9061,"SDA"
2023,"Mexico",18420.6684123039,27034793204.2233,"SDA"
2024,"Mexico",16861.9743400402,25240952790.5074,"SDA"
2025,"Mexico",15351.2297474174,23433119168.6822,"SDA"
2026,"Mexico",13885.910850789,21610401969.8987,"SDA"
2027,"Mexico",12463.6483758095,19771929269.8598,"SDA"
2028,"Mexico",11082.2517363791,17916903324.5551,"SDA"
2029,"Mexico",9705.83920497512,15988826444.4118,"SDA"
2030,"Mexico",8401.24623645287,14099216254.7318,"SDA"
2031,"Mexico",7613.01983292932,13013582143.1155,"SDA"
2032,"Mexico",6818.59917860875,11869876274.1772,"SDA"
2033,"Mexico",6068.45903530016,10756343209.2089,"SDA"
2034,"Mexico",5319.22681521619,9598326364.6469,"SDA"
2035,"Mexico",4606.14199740088,8460034908.48853,"SDA"
2036,"Mexico",3896.87498087427,7283961049.53182,"SDA"
2037,"Mexico",3216.66780091105,6117916217.85059,"SDA"
2038,"Mexico",2542.91684961104,4920472965.8985,"SDA"
2039,"Mexico",1892.01570979017,3723996932.40582,"SDA"
2040,"Mexico",1249.96757689998,2502228600.5599,"SDA"
2041,"Mexico",1107.88499948256,2255285767.47907,"SDA"
2042,"Mexico",967.309807722524,2002107279.80532,"SDA"
2043,"Mexico",834.028032106056,1754909047.06301,"SDA"
2044,"Mexico",704.632514472635,1507048878.49792,"SDA"
2045,"Mexico",577.283347969567,1254827306.78295,"SDA"
2046,"Mexico",455.469552489468,1006063046.97029,"SDA"
2047,"Mexico",336.010814997169,754104792.664406,"SDA"
2048,"Mexico",221.076620632867,504053402.186859,"SDA"
